week_start_date,pillar,track,goal_title,goal_description,priority,time_estimate_mins,parent_90day_goal,status,notes
2026-06-08,Profit,Agilia,Raise White Horse timesheet code,Ask Kate/Afsal to add White Horse as a timesheet project option before the work starts.,2,15,Deliver Agilia commitment cleanly,not_started,
2026-06-08,Profit,Pipeline,Refresh the pipeline tracker to current state,Update every row to the committed Agilia book; add both events and the 17 Aug deadline as fixed anchors.,3,30,Diversify pipeline beyond Agilia,not_started,
2026-06-08,Profit,,Block the diary for both events,Protect 6-8 July (Innovation Festival sprint) and 17-18 Sept (IWO conference).,4,10,Convert events into water-company relationships,not_started,
2026-06-08,Promise,,Start the PR29 delivery white paper skeleton,"Headers, argument, and the three questions a water company should ask about assured progress reports / DCAF.",1,120,Publish PR29 delivery white paper,not_started,
2026-06-08,Personal,,,,,,,,
2026-06-08,People,,,,,,,,
2026-06-08,Personal Development,,,,,,,,
2026-06-08,Physical Environment,,,,,,,,
2026-06-15,Profit,IBM/Nuvantiq,Set up the go/no-go decision,Define decision criteria and set a decision date (2 July); list what is still outstanding.,1,60,Land IBM/Nuvantiq decision,not_started,
2026-06-15,Promise,,Short post on supervisory regulation / Cunliffe,Seed presence ahead of the festival; written from the three-seat vantage point.,2,30,Build Optopia thought leadership,not_started,
2026-06-15,Promise,,Draft the white paper 'three questions' section,The writable section now; fill specifics once DCAF detail firms up.,3,90,Publish PR29 delivery white paper,not_started,
2026-06-15,Personal,,,,,,,,
2026-06-15,People,,,,,,,,
2026-06-15,Personal Development,,,,,,,,
2026-06-15,Physical Environment,,,,,,,,
2026-06-22,Profit,QASR,Keep QASR warm,"Check the Southern Water framework status; send one relevant, no-ask share (DM quality framework).",2,30,Convert QASR at higher tier,not_started,
2026-06-22,Profit,,Draft sprint framing questions,"2-3 questions for Day 1 (Start with Why) and Day 3 (Form a View), from the three-seat vantage point.",1,45,Convert events into water-company relationships,not_started,
2026-06-22,Promise,,Refine the white paper skeleton,Tighten the argument and the closing point of view.,3,60,Publish PR29 delivery white paper,not_started,
2026-06-22,Personal,,,,,,,,
2026-06-22,People,,,,,,,,
2026-06-22,Personal Development,,,,,,,,
2026-06-22,Physical Environment,,,,,,,,
2026-06-29,Profit,IBM/Nuvantiq,Make the go/no-go decision and record it,"If no-go, close it formally (a clean no-go gates any direct IBM approach); if go, define the next step. Decide on merits - the Agilia floor means cashflow is not a factor.",1,60,Land IBM/Nuvantiq decision,not_started,
2026-06-29,Profit,,Finalise sprint prep,One-sentence Optopia answer sharp; questions ready; travel and accommodation to Newcastle confirmed.,2,45,Convert events into water-company relationships,not_started,
2026-06-29,Promise,,,,,,,,
2026-06-29,Personal,,,,,,,,
2026-06-29,People,,,,,,,,
2026-06-29,Personal Development,,,,,,,,
2026-06-29,Physical Environment,,,,,,,,
2026-07-06,Profit,,Attend the Innovation Festival sprint (Days 1-3),Attend as Optopia principal who collaborates with QASR - not under its banner. Contribute through the quality of questions in Start with Why and Form a View.,1,,Convert events into water-company relationships,not_started,
2026-07-06,Profit,,Capture sprint contacts,Anglian / Northumbrian regulation people; Day 2 cross-sector supervision experts.,2,30,Convert events into water-company relationships,not_started,
2026-07-06,Profit,,Follow up 3-5 key sprint contacts within 48 hours,Specific reference to a discussion; connect on LinkedIn; add to tracker (source: festival).,1,60,Convert events into water-company relationships,not_started,
2026-07-06,Promise,,,,,,,,
2026-07-06,Personal,,,,,,,,
2026-07-06,People,,,,,,,,
2026-07-06,Personal Development,,,,,,,,
2026-07-06,Physical Environment,,,,,,,,
2026-07-13,Profit,,Complete sprint follow-ups,Finish any outstanding follow-ups; qualify and record contacts.,3,45,Convert events into water-company relationships,not_started,
2026-07-13,Promise,,Post a sprint insight on supervisory regulation,"Your framing, not others' attributed positions. Turns attendance into content that reaches the water-company audience.",2,30,Build Optopia thought leadership,not_started,
2026-07-13,Promise,,Move the white paper from skeleton to draft,Write the 'what this means for delivery' sections.,1,120,Publish PR29 delivery white paper,not_started,
2026-07-13,Personal,,,,,,,,
2026-07-13,People,,,,,,,,
2026-07-13,Personal Development,,,,,,,,
2026-07-13,Physical Environment,,,,,,,,
2026-07-20,Profit,Pipeline,Mid-quarter pipeline review,Agilia steady? QASR framework landed? IBM follow-through? Concentrate effort on what is moving.,2,30,Diversify pipeline beyond Agilia,not_started,
2026-07-20,Profit,QASR,Begin QASR conversion if the framework decision has landed,"Hold the higher rate tier - frame as different work at a different rate, not the GBP900 volume rate.",3,45,Convert QASR at higher tier,not_started,
2026-07-20,Promise,,Complete the white paper draft,Substantially complete so publication is fast once the deadline lands; only final references outstanding.,1,120,Publish PR29 delivery white paper,not_started,
2026-07-20,Personal,,,,,,,,
2026-07-20,People,,,,,,,,
2026-07-20,Personal Development,,,,,,,,
2026-07-20,Physical Environment,,,,,,,,
2026-07-27,Profit,CPC,Close the CPC loop,"Chase, or formally close it out if still no response.",3,20,Diversify pipeline beyond Agilia,not_started,
2026-07-27,Profit,Agilia,Associate Engagement Protocol check on Agilia,Direct line to the WC project lead on Poole/Cheddar2? Branded output included? LinkedIn connections made? This is the quarter's Phase 2 investment.,1,30,Apply Associate Engagement Protocol,not_started,
2026-07-27,Promise,,Short post (cadence),Maintain fortnightly-plus visibility.,2,30,Build Optopia thought leadership,not_started,
2026-07-27,Personal,,,,,,,,
